status,project,additional,timePlayed
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T11:15:54Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T11:39:19Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T11:41:35Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T12:35:25Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T12:36:56Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T12:38:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T12:40:27Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:12:58Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:16:42Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:18:16Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:18:24Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:25:08Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:25:38Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:32:24Z
TERMOS_NAO_ACEITO,66f479e271aa00601b17fe4f,,2025-04-02T13:34:41Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T13:52:55Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:05:30Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:08:47Z
TERMOS_NAO_ACEITO,66f479e271aa00601b17fe4f,,2025-04-02T14:09:32Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:10:41Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:12:45Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:14:26Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:18:40Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:21:06Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:25:40Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:34:31Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:39:20Z
ESCANEOU_QRCODE,66f479e271aa00601b17fe4f,,2025-04-02T14:39:23Z
